ds,y
2015-01-10,90
2015-01-10,52
2015-01-10,69
2015-01-10,143
2015-01-10,321
2015-01-10,619
2015-01-10,757
2015-01-10,800
2015-01-10,1191
2015-01-10,1395
2015-01-10,1358
2015-01-10,1436
2015-01-10,1270
2015-01-10,1054
2015-01-10,849
2015-01-10,720
2015-01-10,556
2015-01-10,349
2015-01-10,335
2015-01-10,334
2015-01-11,360
2015-01-11,255
2015-01-11,198
2015-01-11,135
2015-01-11,74
2015-01-11,57
2015-01-11,67
2015-01-11,93
2015-01-11,241
2015-01-11,538
2015-01-11,922
2015-01-11,1248
2015-01-11,1555
2015-01-11,1813
2015-01-11,1639
2015-01-11,1464
2015-01-11,1097
2015-01-11,827
2015-01-11,519
2015-01-11,493
2015-01-11,315
2015-01-11,260
2015-01-11,237
2015-01-11,168
2015-01-12,117
2015-01-12,45
2015-01-12,29
2015-01-12,36
2015-01-12,26
2015-01-12,86
2015-01-12,433
2015-01-12,1541
2015-01-12,3418
2015-01-12,1832
2015-01-12,723
2015-01-12,654
2015-01-12,700
2015-01-12,631
2015-01-12,520
2015-01-12,374
2015-01-12,669
2015-01-12,1510
2015-01-12,1186
2015-01-12,1136
2015-01-12,753
2015-01-12,510
2015-01-12,184
2015-01-12,86
2015-01-13,64
2015-01-13,29
2015-01-13,21
2015-01-13,13
2015-01-13,33
2015-01-13,113
2015-01-13,600
2015-01-13,1584
2015-01-13,3960
2015-01-13,2090
2015-01-13,960
2015-01-13,866
2015-01-13,1019
2015-01-13,719
2015-01-13,811
2015-01-13,883
2015-01-13,1391
2015-01-13,2886
2015-01-13,2659
2015-01-13,1548
2015-01-13,947
2015-01-13,660
2015-01-13,501
2015-01-13,340
2015-01-14,168
2015-01-14,79
2015-01-14,60
2015-01-14,54
2015-01-14,44
2015-01-14,93
2015-01-14,560
2015-01-14,1820
2015-01-14,3904
2015-01-14,2064
2015-01-14,841
2015-01-14,732
2015-01-14,1013
2015-01-14,1066
2015-01-14,913
2015-01-14,969
2015-01-14,1365
2015-01-14,2638
2015-01-14,1974
2015-01-14,1254
2015-01-14,885
2015-01-14,537
2015-01-14,344
2015-01-14,188
2015-01-15,91
2015-01-15,66
2015-01-15,25
2015-01-15,23
2015-01-15,23
2015-01-15,62
2015-01-15,481
2015-01-15,1692
2015-01-15,3673
2015-01-15,1941
2015-01-15,844
2015-01-15,729
2015-01-15,835
2015-01-15,1005
2015-01-15,828
2015-01-15,912
2015-01-15,1249
2015-01-15,2524
2015-01-15,2480
2015-01-15,1353
2015-01-15,810
2015-01-15,591
2015-01-15,430
2015-01-15,301
2015-01-16,208
2015-01-16,117
2015-01-16,71
2015-01-16,59
2015-01-16,46
2015-01-16,88
2015-01-16,471
2015-01-16,1648
2015-01-16,3546
2015-01-16,1980
2015-01-16,878
2015-01-16,795
2015-01-16,994
2015-01-16,1122
2015-01-16,941
2015-01-16,1104
2015-01-16,1149
2015-01-16,2348
2015-01-16,2002
2015-01-16,1183
2015-01-16,693
2015-01-16,473
2015-01-16,386
2015-01-16,361
2015-01-17,328
2015-01-17,220
2015-01-17,199
2015-01-17,144
2015-01-17,76
2015-01-17,68
2015-01-17,70
2015-01-17,154
2015-01-17,350
2015-01-17,682
2015-01-17,784
2015-01-17,998
2015-01-17,1360
2015-01-17,1421
2015-01-17,1531
2015-01-17,1527
2015-01-17,1257
2015-01-17,997
2015-01-17,765
2015-01-17,719
2015-01-17,525
2015-01-17,415
2015-01-17,328
2015-01-17,350
2015-01-18,383
2015-01-18,268
2015-01-18,268
2015-01-18,140
2015-01-18,73
2015-01-18,53
2015-01-18,54
2015-01-18,97
2015-01-18,210
2015-01-18,406
2015-01-18,693
2015-01-18,906
2015-01-18,1244
2015-01-18,1401
2015-01-18,1313
2015-01-18,1450
2015-01-18,1111
2015-01-18,844
2015-01-18,694
2015-01-18,510
2015-01-18,370
2015-01-18,265
2015-01-18,249
2015-01-18,197
2015-01-19,128
2015-01-19,57
2015-01-19,30
2015-01-19,32
2015-01-19,36
2015-01-19,88
2015-01-19,472
2015-01-19,1695
2015-01-19,3554
2015-01-19,1828
2015-01-19,794
2015-01-19,688
2015-01-19,923
2015-01-19,913
2015-01-19,815
2015-01-19,908
2015-01-19,1257
2015-01-19,2774
2015-01-19,2543
2015-01-19,1442
2015-01-19,893
2015-01-19,561
2015-01-19,356
2015-01-19,247
2015-01-20,85
2015-01-20,49
2015-01-20,40
2015-01-20,18
2015-01-20,32
2015-01-20,80
2015-01-20,520
2015-01-20,1791
2015-01-20,3700
2015-01-20,1818
2015-01-20,806
2015-01-20,636
2015-01-20,894
2015-01-20,966
2015-01-20,806
2015-01-20,897
2015-01-20,1287
2015-01-20,2683
2015-01-20,2624
2015-01-20,1448
2015-01-20,758
2015-01-20,603
2015-01-20,447
2015-01-20,259
2015-01-21,151
2015-01-21,70
2015-01-21,56
2015-01-21,24
2015-01-21,41
2015-01-21,81
2015-01-21,522
2015-01-21,1656
2015-01-21,3655
2015-01-21,1976
2015-01-21,821
2015-01-21,666
2015-01-21,805
2015-01-21,821
2015-01-21,701
2015-01-21,759
2015-01-21,1217
2015-01-21,2503
2015-01-21,2511
2015-01-21,1359
2015-01-21,890
2015-01-21,666
2015-01-21,480
2015-01-21,351
2015-01-22,138
2015-01-22,81
2015-01-22,54
2015-01-22,37
2015-01-22,39
2015-01-22,89
2015-01-22,512
2015-01-22,1677
2015-01-22,3828
2015-01-22,1911
2015-01-22,789
2015-01-22,713
2015-01-22,914
2015-01-22,935
2015-01-22,867
2015-01-22,885
2015-01-22,1328
2015-01-22,2457
2015-01-22,2422
2015-01-22,1350
2015-01-22,850
2015-01-22,640
2015-01-22,438
2015-01-22,324
2015-01-23,171
2015-01-23,96
2015-01-23,58
2015-01-23,41
2015-01-23,31
2015-01-23,80
2015-01-23,426
2015-01-23,1494
2015-01-23,3328
2015-01-23,1839
2015-01-23,894
2015-01-23,794
2015-01-23,1084
2015-01-23,1053
2015-01-23,1005
2015-01-23,1002
2015-01-23,1421
2015-01-23,2388
2015-01-23,1946
2015-01-23,1126
2015-01-23,687
2015-01-23,421
2015-01-23,208
2015-01-23,299
2015-01-24,186
2015-01-24,141
2015-01-24,142
2015-01-24,121
2015-01-24,70
2015-01-24,61
2015-01-24,76
2015-01-24,142
2015-01-24,318
2015-01-24,723
2015-01-24,1086
2015-01-24,1411
2015-01-24,1636
2015-01-24,1769
2015-01-24,1796
2015-01-24,1798
2015-01-24,1597
2015-01-24,1226
2015-01-24,837
2015-01-24,709
2015-01-24,526
2015-01-24,393
2015-01-24,401
2015-01-24,374
2015-01-25,347
2015-01-25,261
2015-01-25,216
2015-01-25,162
2015-01-25,107
2015-01-25,70
2015-01-25,83
2015-01-25,108
2015-01-25,226
2015-01-25,529
2015-01-25,857
2015-01-25,1195
2015-01-25,1478
2015-01-25,1705
2015-01-25,1519
2015-01-25,1477
2015-01-25,1238
2015-01-25,875
2015-01-25,810
2015-01-25,566
2015-01-25,423
2015-01-25,335
2015-01-25,297
2015-01-25,210
2015-01-26,115
2015-01-26,74
2015-01-26,34
2015-01-26,33
2015-01-26,47
2015-01-26,88
2015-01-26,472
2015-01-26,1619
2015-01-26,3589
2015-01-26,1844
2015-01-26,603
2015-01-26,621
2015-01-26,841
2015-01-26,884
2015-01-26,796
2015-01-26,904
2015-01-26,1319
2015-01-26,2723
2015-01-26,2509
2015-01-26,1457
2015-01-26,941
2015-01-26,550
2015-01-26,433
2015-01-26,214
2015-01-27,133
2015-01-27,69
2015-01-27,30
2015-01-27,33
2015-01-27,43
2015-01-27,88
2015-01-27,571
2015-01-27,1913
2015-01-27,3835
2015-01-27,1900
2015-01-27,874
2015-01-27,763
2015-01-27,999
2015-01-27,977
2015-01-27,866
2015-01-27,976
2015-01-27,1346
2015-01-27,2724
2015-01-27,2750
2015-01-27,1539
2015-01-27,1001
2015-01-27,642
2015-01-27,566
2015-01-27,362
2015-01-28,190
2015-01-28,78
2015-01-28,57
2015-01-28,59
2015-01-28,39
2015-01-28,99
2015-01-28,575
2015-01-28,1536
2015-01-28,3576
2015-01-28,1788
2015-01-28,522
2015-01-28,558
2015-01-28,624
2015-01-28,629
2015-01-28,665
2015-01-28,823
2015-01-28,1269
2015-01-28,2426
2015-01-28,2377
2015-01-28,1413
2015-01-28,854
2015-01-28,652
2015-01-28,451
2015-01-28,276
2015-01-29,122
2015-01-29,106
2015-01-29,34
2015-01-29,38
2015-01-29,33
2015-01-29,76
2015-01-29,529
2015-01-29,1760
2015-01-29,3783
2015-01-29,1905
2015-01-29,811
2015-01-29,700
2015-01-29,889
2015-01-29,894
2015-01-29,757
2015-01-29,580
2015-01-29,922
2015-01-29,1984
2015-01-29,2076
2015-01-29,1237
2015-01-29,770
2015-01-29,525
2015-01-29,430
2015-01-29,314
2015-01-30,190
2015-01-30,80
2015-01-30,79
2015-01-30,60
2015-01-30,45
2015-01-30,74
2015-01-30,426
2015-01-30,1388
2015-01-30,3090
2015-01-30,1667
2015-01-30,766
2015-01-30,762
2015-01-30,967
2015-01-30,923
2015-01-30,849
2015-01-30,911
2015-01-30,1452
2015-01-30,2350
2015-01-30,1940
2015-01-30,1131
2015-01-30,734
2015-01-30,506
2015-01-30,384
2015-01-30,397
2015-01-31,379
2015-01-31,281
2015-01-31,252
2015-01-31,163
2015-01-31,96
2015-01-31,80
2015-01-31,62
2015-01-31,129
2015-01-31,182
2015-01-31,468
2015-01-31,705
2015-01-31,926
2015-01-31,816
2015-01-31,409
2015-01-31,521
2015-01-31,632
2015-01-31,795
2015-01-31,840
2015-01-31,635
2015-01-31,565
2015-01-31,447
2015-01-31,305
2015-01-31,276
2015-01-31,286
2015-02-01,273
2015-02-01,246
2015-02-01,156
2015-02-01,83
2015-02-01,59
2015-02-01,43
2015-02-01,50
2015-02-01,90
2015-02-01,208
2015-02-01,411
2015-02-01,655
2015-02-01,884
2015-02-01,1117
2015-02-01,1083
2015-02-01,1082
2015-02-01,1007
2015-02-01,970
2015-02-01,724
2015-02-01,624
2015-02-01,502
2015-02-01,380
2015-02-01,256
2015-02-01,244
2015-02-01,158
2015-02-02,124
2015-02-02,64
2015-02-02,40
2015-02-02,77
2015-02-02,37
2015-02-02,72
2015-02-02,407
2015-02-02,1543
2015-02-02,3556
2015-02-02,1704
2015-02-02,737
2015-02-02,686
2015-02-02,765
2015-02-02,817
2015-02-02,761
2015-02-02,766
2015-02-02,1185
2015-02-02,2534
2015-02-02,2476
2015-02-02,1394
2015-02-02,842
2015-02-02,508
2015-02-02,343
2015-02-02,202
2015-02-03,94
2015-02-03,64
2015-02-03,27
2015-02-03,20
2015-02-03,21
2015-02-03,63
2015-02-03,356
2015-02-03,1364
2015-02-03,2972
2015-02-03,1611
2015-02-03,663
2015-02-03,575
2015-02-03,775
2015-02-03,780
2015-02-03,706
2015-02-03,771
2015-02-03,1178
2015-02-03,2301
2015-02-03,2236
2015-02-03,1339
2015-02-03,795
2015-02-03,571
2015-02-03,383
2015-02-03,204
2015-02-04,105
2015-02-04,68
2015-02-04,47
2015-02-04,42
2015-02-04,25
2015-02-04,86
2015-02-04,493
2015-02-04,1696
2015-02-04,3502
2015-02-04,1806
2015-02-04,758
2015-02-04,656
2015-02-04,857
2015-02-04,813
2015-02-04,768
2015-02-04,738
2015-02-04,1136
2015-02-04,2432
2015-02-04,2306
2015-02-04,1356
2015-02-04,827
2015-02-04,596
2015-02-04,443
2015-02-04,294
2015-02-05,140
2015-02-05,84
2015-02-05,59
2015-02-05,33
2015-02-05,44
2015-02-05,100
2015-02-05,472
2015-02-05,1433
2015-02-05,2894
2015-02-05,1635
2015-02-05,665
2015-02-05,563
2015-02-05,789
2015-02-05,891
2015-02-05,748
2015-02-05,828
2015-02-05,1259
2015-02-05,2483
2015-02-05,2402
2015-02-05,1316
2015-02-05,875
2015-02-05,642
2015-02-05,512
2015-02-05,333
2015-02-06,215
2015-02-06,105
2015-02-06,67
2015-02-06,48
2015-02-06,40
2015-02-06,83
2015-02-06,431
2015-02-06,1460
2015-02-06,3214
2015-02-06,1734
2015-02-06,815
2015-02-06,705
2015-02-06,1036
2015-02-06,989
2015-02-06,836
2015-02-06,919
2015-02-06,1360
2015-02-06,2267
2015-02-06,1777
2015-02-06,1081
2015-02-06,579
2015-02-06,425
2015-02-06,456
2015-02-06,313
2015-02-07,286
2015-02-07,240
2015-02-07,179
2015-02-07,149
2015-02-07,72
2015-02-07,46
2015-02-07,65
2015-02-07,145
2015-02-07,327
2015-02-07,580
2015-02-07,812
2015-02-07,916
2015-02-07,1165
2015-02-07,1139
2015-02-07,1068
2015-02-07,1107
2015-02-07,1104
2015-02-07,965
2015-02-07,689
2015-02-07,678
2015-02-07,471
2015-02-07,302
2015-02-07,322
2015-02-07,322
2015-02-08,336
2015-02-08,233
2015-02-08,197
2015-02-08,133
2015-02-08,97
2015-02-08,66
2015-02-08,55
2015-02-08,93
2015-02-08,230
2015-02-08,480
2015-02-08,893
2015-02-08,1153
2015-02-08,1471
2015-02-08,1663
2015-02-08,1824
2015-02-08,1765
2015-02-08,1502
2015-02-08,1119
2015-02-08,806
2015-02-08,510
2015-02-08,388
2015-02-08,334
2015-02-08,246
2015-02-08,184
2015-02-09,122
2015-02-09,50
2015-02-09,36
2015-02-09,21
2015-02-09,39
2015-02-09,79
2015-02-09,479
2015-02-09,1730
2015-02-09,3721
2015-02-09,1729
2015-02-09,773
2015-02-09,736
2015-02-09,993
2015-02-09,1003
2015-02-09,921
2015-02-09,980
2015-02-09,1431
2015-02-09,2850
2015-02-09,2577
2015-02-09,1482
2015-02-09,880
2015-02-09,604
2015-02-09,410
2015-02-09,212
2015-02-10,128
2015-02-10,58
2015-02-10,47
2015-02-10,21
2015-02-10,35
2015-02-10,105
2015-02-10,552
2015-02-10,1911
2015-02-10,3788
2015-02-10,1918
2015-02-10,855
2015-02-10,719
2015-02-10,933
2015-02-10,954
2015-02-10,876
2015-02-10,955
2015-02-10,1386
2015-02-10,2671
2015-02-10,2586
2015-02-10,1453
2015-02-10,861
2015-02-10,464
2015-02-10,283
2015-02-11,134
2015-02-11,61
2015-02-11,44
2015-02-11,38
2015-02-11,25
2015-02-11,81
2015-02-11,519
2015-02-11,1796
2015-02-11,3671
2015-02-11,1840
2015-02-11,841
2015-02-11,698
2015-02-11,924
2015-02-11,899
2015-02-11,805
2015-02-11,898
2015-02-11,1347
2015-02-11,2575
2015-02-11,2441
2015-02-11,1473
2015-02-11,884
2015-02-11,748
2015-02-11,595
2015-02-11,343
2015-02-12,201
2015-02-12,91
2015-02-12,63
2015-02-12,42
2015-02-12,51
2015-02-12,100
2015-02-12,525
2015-02-12,1825
2015-02-12,3729
2015-02-12,1849
2015-02-12,781
2015-02-12,692
2015-02-12,894
2015-02-12,890
2015-02-12,806
2015-02-12,828
2015-02-12,1234
2015-02-12,2423
2015-02-12,2434
2015-02-12,1350
2015-02-12,911
2015-02-12,637
2015-02-12,492
2015-02-12,379
2015-02-13,218
2015-02-13,114
2015-02-13,74
2015-02-13,37
2015-02-13,43
2015-02-13,81
2015-02-13,407
2015-02-13,1450
2015-02-13,3205
2015-02-13,1743
2015-02-13,864
2015-02-13,777
2015-02-13,971
2015-02-13,580
2015-02-13,418
2015-02-13,408
2015-02-13,979
2015-02-13,2008
2015-02-13,1274
2015-02-13,657
2015-02-13,540
2015-02-13,388
2015-02-13,276
2015-02-13,187
2015-02-14,175
2015-02-14,150
2015-02-14,160
2015-02-14,116
2015-02-14,83
2015-02-14,52
2015-02-14,85
2015-02-14,147
2015-02-14,366
2015-02-14,633
2015-02-14,931
2015-02-14,1212
2015-02-14,1475
2015-02-14,1385
2015-02-14,1117
2015-02-14,1217
2015-02-14,1131
2015-02-14,1041
2015-02-14,839
2015-02-14,635
2015-02-14,429
2015-02-14,325
2015-02-14,358
2015-02-14,361
2015-02-15,269
2015-02-15,217
2015-02-15,210
2015-02-15,144
2015-02-15,73
2015-02-15,71
2015-02-15,78
2015-02-15,83
2015-02-15,247
2015-02-15,506
2015-02-15,903
2015-02-15,1155
2015-02-15,1494
2015-02-15,1616
2015-02-15,1770
2015-02-15,1870
2015-02-15,1841
2015-02-15,1399
2015-02-15,946
2015-02-15,685
2015-02-15,464
2015-02-15,376
2015-02-15,309
2015-02-15,226
2015-02-16,134
2015-02-16,50
2015-02-16,31
2015-02-16,31
2015-02-16,31
2015-02-16,81
2015-02-16,441
2015-02-16,1572
2015-02-16,3323
2015-02-16,1637
2015-02-16,778
2015-02-16,752
2015-02-16,842
2015-02-16,670
2015-02-16,442
2015-02-16,304
2015-02-16,589
2015-02-16,1374
2015-02-16,1196
2015-02-16,748
2015-02-16,452
2015-02-16,372
2015-02-16,325
2015-02-16,206
2015-02-17,102
2015-02-17,47
2015-02-17,44
2015-02-17,25
2015-02-17,30
2015-02-17,91
2015-02-17,506
2015-02-17,1751
2015-02-17,3582
2015-02-17,1697
2015-02-17,889
2015-02-17,835
2015-02-17,1156
2015-02-17,1202
2015-02-17,1063
2015-02-17,1143
2015-02-17,1623
2015-02-17,2758
2015-02-17,2574
2015-02-17,1568
2015-02-17,876
2015-02-17,667
2015-02-17,502
2015-02-17,333
2015-02-18,158
2015-02-18,86
2015-02-18,30
2015-02-18,23
2015-02-18,37
2015-02-18,86
2015-02-18,509
2015-02-18,1717
2015-02-18,3582
2015-02-18,1789
2015-02-18,963
2015-02-18,853
2015-02-18,1225
2015-02-18,1171
2015-02-18,1177
2015-02-18,1195
2015-02-18,1535
2015-02-18,2651
2015-02-18,2492
2015-02-18,1444
2015-02-18,933
2015-02-18,622
2015-02-18,529
2015-02-18,325
2015-02-19,163
2015-02-19,109
2015-02-19,66
2015-02-19,39
2015-02-19,50
2015-02-19,70
2015-02-19,496
2015-02-19,1679
2015-02-19,3559
2015-02-19,1747
2015-02-19,833
2015-02-19,710
2015-02-19,892
2015-02-19,656
2015-02-19,355
2015-02-19,350
2015-02-19,635
2015-02-19,1229
2015-02-19,1271
2015-02-19,740
2015-02-19,420
2015-02-19,347
2015-02-19,276
2015-02-19,206
2015-02-20,134
2015-02-20,75
2015-02-20,34
2015-02-20,32
2015-02-20,29
2015-02-20,76
2015-02-20,398
2015-02-20,1333
2015-02-20,3051
2015-02-20,1631
2015-02-20,776
2015-02-20,800
2015-02-20,994
2015-02-20,1011
2015-02-20,927
2015-02-20,1002
2015-02-20,1293
2015-02-20,2241
2015-02-20,1825
2015-02-20,1102
2015-02-20,676
2015-02-20,478
2015-02-20,407
2015-02-20,390
2015-02-21,291
2015-02-21,237
2015-02-21,181
2015-02-21,142
2015-02-21,104
2015-02-21,66
2015-02-21,67
2015-02-21,137
2015-02-21,352
2015-02-21,595
2015-02-21,918
2015-02-21,1324
2015-02-21,1386
2015-02-21,1530
2015-02-21,1526
2015-02-21,1445
2015-02-21,1522
2015-02-21,1266
2015-02-21,876
2015-02-21,629
2015-02-21,536
2015-02-21,414
2015-02-21,351
2015-02-21,303
2015-02-22,324
2015-02-22,228
2015-02-22,170
2015-02-22,158
2015-02-22,80
2015-02-22,72
2015-02-22,95
2015-02-22,106
2015-02-22,264
2015-02-22,587
2015-02-22,871
2015-02-22,1140
2015-02-22,1294
2015-02-22,1164
2015-02-22,677
2015-02-22,240
2015-02-22,237
2015-02-22,195
2015-02-22,255
2015-02-22,285
2015-02-22,183
2015-02-22,159
2015-02-22,162
2015-02-22,140
2015-02-23,91
2015-02-23,36
2015-02-23,19
2015-02-23,22
2015-02-23,23
2015-02-23,94
2015-02-23,503
2015-02-23,1682
2015-02-23,3618
2015-02-23,1760
2015-02-23,746
2015-02-23,616
2015-02-23,776
2015-02-23,771
2015-02-23,686
2015-02-23,803
2015-02-23,1272
2015-02-23,2626
2015-02-23,2470
2015-02-23,1332
2015-02-23,794
2015-02-23,539
2015-02-23,324
2015-02-23,161
2015-02-24,105
2015-02-24,47
2015-02-24,27
2015-02-24,16
2015-02-24,29
2015-02-24,98
2015-02-24,559
2015-02-24,1998
2015-02-24,3841
2015-02-24,1819
2015-02-24,830
2015-02-24,725
2015-02-24,882
2015-02-24,946
2015-02-24,781
2015-02-24,914
2015-02-24,1353
2015-02-24,2641
2015-02-24,2522
2015-02-24,1392
2015-02-24,840
2015-02-24,605
2015-02-24,434
2015-02-24,284
2015-02-25,162
2015-02-25,69
2015-02-25,58
2015-02-25,34
2015-02-25,31
2015-02-25,70
2015-02-25,341
2015-02-25,1120
2015-02-25,2617
2015-02-25,1443
2015-02-25,747
2015-02-25,726
2015-02-25,911
2015-02-25,1040
2015-02-25,898
2015-02-25,988
2015-02-25,1452
2015-02-25,2651
2015-02-25,2424
2015-02-25,1394
2015-02-25,899
2015-02-25,637
2015-02-25,538
2015-02-25,342
2015-02-26,143
2015-02-26,108
2015-02-26,68
2015-02-26,39
2015-02-26,31
2015-02-26,101
2015-02-26,549
2015-02-26,1822
2015-02-26,3628
2015-02-26,1793
2015-02-26,662
2015-02-26,269
2015-02-26,274
2015-02-26,297
2015-02-26,371
2015-02-26,680
2015-02-26,1116
2015-02-26,2354
2015-02-26,2192
2015-02-26,1349
2015-02-26,746
2015-02-26,617
2015-02-26,465
2015-02-26,362
2015-02-27,169
2015-02-27,122
2015-02-27,70
2015-02-27,51
2015-02-27,43
2015-02-27,81
2015-02-27,474
2015-02-27,1664
2015-02-27,3398
2015-02-27,1841
2015-02-27,1046
2015-02-27,913
2015-02-27,1236
2015-02-27,1204
2015-02-27,1191
2015-02-27,1309
2015-02-27,1568
2015-02-27,2616
2015-02-27,2030
2015-02-27,1187
2015-02-27,761
2015-02-27,504
2015-02-27,462
2015-02-27,427
2015-02-28,375
2015-02-28,295
2015-02-28,218
2015-02-28,170
2015-02-28,112
2015-02-28,89
2015-02-28,79
2015-02-28,177
2015-02-28,376
2015-02-28,580
2015-02-28,822
2015-02-28,928
2015-02-28,1168
2015-02-28,1224
2015-02-28,1217
2015-02-28,1152
2015-02-28,1193
2015-02-28,1143
2015-02-28,880
2015-02-28,514
2015-02-28,168
2015-02-28,181
2015-02-28,228
2015-02-28,240
2015-03-01,272
2015-03-01,226
2015-03-01,177
2015-03-01,168
2015-03-01,81
2015-03-01,67
2015-03-01,90
2015-03-01,136
2015-03-01,234
2015-03-01,604
2015-03-01,986
2015-03-01,1306
2015-03-01,1708
2015-03-01,1807
2015-03-01,2006
2015-03-01,1784
2015-03-01,1472
2015-03-01,568
2015-03-01,563
2015-03-01,435
2015-03-01,329
2015-03-01,239
2015-03-01,235
2015-03-01,148
2015-03-02,97
2015-03-02,49
2015-03-02,29
2015-03-02,19
2015-03-02,33
2015-03-02,78
2015-03-02,496
2015-03-02,1798
2015-03-02,3573
2015-03-02,1600
2015-03-02,772
2015-03-02,642
2015-03-02,769
2015-03-02,809
2015-03-02,736
2015-03-02,897
2015-03-02,1317
2015-03-02,2739
2015-03-02,2470
2015-03-02,1410
2015-03-02,844
2015-03-02,514
2015-03-02,360
2015-03-02,207
2015-03-03,102
2015-03-03,53
2015-03-03,32
2015-03-03,30
2015-03-03,38
2015-03-03,79
2015-03-03,574
2015-03-03,1997
2015-03-03,3818
2015-03-03,1701
2015-03-03,805
2015-03-03,725
2015-03-03,919
2015-03-03,885
2015-03-03,880
2015-03-03,937
2015-03-03,1417
2015-03-03,2753
2015-03-03,2488
2015-03-03,1496
2015-03-03,810
2015-03-03,592
2015-03-03,426
2015-03-03,288
2015-03-04,135
2015-03-04,95
2015-03-04,46
2015-03-04,24
2015-03-04,22
2015-03-04,97
2015-03-04,556
2015-03-04,1929
2015-03-04,3803
2015-03-04,1787
2015-03-04,831
2015-03-04,755
2015-03-04,1000
2015-03-04,1055
2015-03-04,863
2015-03-04,957
2015-03-04,1460
2015-03-04,2761
2015-03-04,2524
2015-03-04,1476
2015-03-04,907
2015-03-04,607
2015-03-04,490
2015-03-04,305
2015-03-05,170
2015-03-05,93
2015-03-05,60
2015-03-05,39
2015-03-05,36
2015-03-05,86
2015-03-05,600
2015-03-05,1947
2015-03-05,3807
2015-03-05,1894
2015-03-05,908
2015-03-05,783
2015-03-05,1133
2015-03-05,1001
2015-03-05,1007
2015-03-05,1055
2015-03-05,1406
2015-03-05,2680
2015-03-05,2503
2015-03-05,1360
2015-03-05,816
2015-03-05,640
2015-03-05,501
2015-03-05,371
2015-03-06,227
2015-03-06,126
2015-03-06,74
2015-03-06,56
2015-03-06,57
2015-03-06,88
2015-03-06,491
2015-03-06,1751
2015-03-06,3548
2015-03-06,1788
2015-03-06,940
2015-03-06,944
2015-03-06,1234
2015-03-06,1318
2015-03-06,1252
2015-03-06,1292
2015-03-06,1825
2015-03-06,2879
2015-03-06,2111
2015-03-06,1220
2015-03-06,747
2015-03-06,553
2015-03-06,453
2015-03-06,363
2015-03-07,347
2015-03-07,222
2015-03-07,206
2015-03-07,147
2015-03-07,87
2015-03-07,75
2015-03-07,78
2015-03-07,168
2015-03-07,457
2015-03-07,869
2015-03-07,1266
2015-03-07,1880
2015-03-07,2460
2015-03-07,2830
2015-03-07,3118
2015-03-07,3179
2015-03-07,3057
2015-03-07,2622
2015-03-07,1432
